"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Ldonovani.gff","Lmajor.gff","NonEsmeraldo.gff","T.brucei.gff","T.evansi.gff","esmerldolike.gff","infantum.gff"
"group_1110","","","7","7","1","1","11613","","","","1487","1490","1487","LdBPK_282610.1","LmjF.28.2430","TcCLB.511209.10","Tbg972.11.13110","TevSTIB805.11_01.12060","TcCLB.506025.50","LINF_280031400"
"group_417","","","7","7","1","1","7447","","","","797","1685","1556","LdBPK_030190.1","LmjF.03.0200","TcCLB.510943.50","Tbg972.10.4060","TevSTIB805.10.3460","TcCLB.509351.10","LINF_030006800"
"group_423","","","7","7","1","1","2842","","","","1139","1454","1262","LdBPK_060370.1","LmjF.06.0370","TcCLB.508175.370","Tbg972.7.5700","TevSTIB805.7.5390","TcCLB.503405.10","LINF_060009000"
"group_545","","","7","7","1","1","2466","","","","785","854","815","LdBPK_170320.1","LmjF.17.0270","TcCLB.511323.50","Tbg972.7.7330","TevSTIB805.7.6930","TcCLB.506513.190","LINF_170009000"
"group_611","","","7","7","1","1","4375","","","","1376","5717","3272","LdBPK_311350.1","LmjF.31.1330","TcCLB.508965.70","Tbg972.8.8170","TevSTIB805.8.8290","TcCLB.509007.40","LINF_310020000"
"group_621","","","7","7","1","1","6040","","","","866","1508","1139","LdBPK_332220.1","LmjF.33.2100","TcCLB.507771.50","Tbg972.11.3240","TevSTIB805.11_01.3000","TcCLB.503887.60","LINF_330029900"
"group_1248","","","6","6","1","1","8552","1","2506","","545","548","546","LdBPK_342160.1","LmjF.34.2390","TcCLB.506559.380","Tbg972.4.2220","TevSTIB805.4.2350","","LINF_340029300"
"group_1341","","","6","6","1","1","5288","1","6473","","1652","1784","1714","LdBPK_354200.1","LmjF.35.4130","TcCLB.508461.140","Tbg972.9.6330","TevSTIB805.9.7700","","LINF_350047100"
"group_207","","","6","6","1","1","10092","1","8894","","500","656","532","LdBPK_250510.1","LmjF.25.0500","","Tbg972.11.450","TevSTIB805.11_01.450","TcCLB.507093.229","LINF_250010200"
"group_329","","","6","6","1","1","9599","1","1896","","776","1589","1394","LdBPK_141450.1","LmjF.14.1360","TcCLB.507609.60","Tbg972.10.8690","TevSTIB805.10.7550","","LINF_140020000"
"group_433","","","6","6","1","1","6106","1","10919","","807","3230","2467","LdBPK_131000.1","","TcCLB.509679.9","Tbg972.11.4270","TevSTIB805.11_01.3880","TcCLB.511049.40","LINF_130016000"
"group_454","","","6","6","1","1","7887","1","2932","","428","497","440","LdBPK_280210.1","LmjF.28.0210","","Tbg972.11.8400","TevSTIB805.11_01.7650","TcCLB.506779.150","LINF_280007000"
"group_495","","","6","6","1","1","4866","1","6654","","590","749","671","LdBPK_010060.1","LmjF.01.0060","","Tbg972.9.1880","TevSTIB805.9.2710","TcCLB.506895.30","LINF_010005500"
"group_505","","","6","6","1","1","5240","1","5932","","902","1022","952","LdBPK_040550.1","LmjF.04.0560","","Tbg972.9.4240","TevSTIB805.9.5590","TcCLB.504033.170","LINF_040010600"
"group_508","","","6","6","1","1","5261","1","5920","","446","554","466","LdBPK_040680.1","LmjF.04.0680","TcCLB.453445.20","Tbg972.9.4360","","TcCLB.508137.30","LINF_040011900"
"group_515","","","6","6","1","1","2312","1","10189","","323","353","345","LdBPK_080480.1","LmjF.08.0470","TcCLB.511661.50","Tbg972.5.4470","TevSTIB805.5.3690","","LINF_080009800"
"group_548","","","6","6","1","1","11010","1","8469","","823","854","842","LdBPK_190140.1","","TcCLB.511289.14","Tbg972.10.17940","TevSTIB805.10.15530","TcCLB.506211.210","LINF_190006300"
"group_571","","","6","6","1","1","4505","1","11195","","500","1829","1604","LdBPK_241700.1","LmjF.24.1630","TcCLB.511909.40","","TevSTIB805.8.6900","TcCLB.506399.89","LINF_240021800"
"group_576","","","6","6","1","1","10099","1","8898","","821","893","863","LdBPK_250550.1","LmjF.25.0540","","Tbg972.11.520","TevSTIB805.11_01.490","TcCLB.507093.300","LINF_250010600"
"group_581","","","6","6","1","1","6598","1","7302","","1166","1424","1228","LdBPK_252450.1","LmjF.25.2340","TcCLB.508479.150","Tbg972.3.2430","TevSTIB805.3.2470","","LINF_250030600"
"group_599","","","6","6","1","1","8084","1","3082","","1151","1178","1164","LdBPK_282600.1","LmjF.28.2420","TcCLB.503935.20","Tbg972.11.13100","TevSTIB805.11_01.12050","","LINF_280031300"
"group_632","","","6","6","1","1","8917","1","9303","","818","1472","1361","LdBPK_351390.1","","TcCLB.508301.20","Tbg972.5.1430","TevSTIB805.5.1190","TcCLB.511181.50","LINF_350018700"
"group_633","","","6","6","1","1","11507","1","3171","","767","779","774","LdBPK_363680.1","LmjF.36.3520","TcCLB.506337.160","Tbg972.11.11150","TevSTIB805.11_01.10230","","LINF_360043800"
"group_671","","","6","6","1","1","4992","1","6305","","2207","2774","2546","LdBPK_353150.1","LmjF.35.3100","TcCLB.510661.90","","TevSTIB805.9.8980","TcCLB.510741.180","LINF_350036300"
"group_818","","","6","6","1","1","363","1","9714","","629","1166","1059","LdBPK_100540.1","LmjF.10.0490","","Tbg972.8.3240","TevSTIB805.8.3650","TcCLB.509475.10","LINF_100011600"
